pr_id,pr_url,issue_id,issue_url,agent_result,agent_comment
3158,https://github.com/newrelic/node-newrelic/pull/3158,3157,https://github.com/newrelic/node-newrelic/issues/3157,Good PR,"The issue clearly describes the current problem and specifies which model identifiers need to be retained, providing detailed cross-referenced information. It is actionable and not a revert or vague request."
3139,https://github.com/newrelic/node-newrelic/pull/3139,3135,https://github.com/newrelic/node-newrelic/issues/3135,Good PR,"The issue provides clear instructions and acceptance criteria for adding support for the new API endpoint, and it is not simply a revert, a question, or a vague request."
3141,https://github.com/newrelic/node-newrelic/pull/3141,3089,https://github.com/newrelic/node-newrelic/issues/3089,Not Checked,
3132,https://github.com/newrelic/node-newrelic/pull/3132,3111,https://github.com/newrelic/node-newrelic/issues/3111,Not Checked,
3119,https://github.com/newrelic/node-newrelic/pull/3119,2890,https://github.com/newrelic/node-newrelic/issues/2890,Not Checked,
3125,https://github.com/newrelic/node-newrelic/pull/3125,3092,https://github.com/newrelic/node-newrelic/issues/3092,Not Checked,
3121,https://github.com/newrelic/node-newrelic/pull/3121,3120,https://github.com/newrelic/node-newrelic/issues/3120,Not Checked,
3110,https://github.com/newrelic/node-newrelic/pull/3110,3104,https://github.com/newrelic/node-newrelic/issues/3104,Not Checked,
3109,https://github.com/newrelic/node-newrelic/pull/3109,3107,https://github.com/newrelic/node-newrelic/issues/3107,Not Checked,
3070,https://github.com/newrelic/node-newrelic/pull/3070,3004,https://github.com/newrelic/node-newrelic/issues/3004,Not Checked,
3077,https://github.com/newrelic/node-newrelic/pull/3077,3073,https://github.com/newrelic/node-newrelic/issues/3073,Not Checked,
3057,https://github.com/newrelic/node-newrelic/pull/3057,2969,https://github.com/newrelic/node-newrelic/issues/2969,Not Checked,
3056,https://github.com/newrelic/node-newrelic/pull/3056,3036,https://github.com/newrelic/node-newrelic/issues/3036,Not Checked,
3046,https://github.com/newrelic/node-newrelic/pull/3046,3045,https://github.com/newrelic/node-newrelic/issues/3045,Not Checked,
3033,https://github.com/newrelic/node-newrelic/pull/3033,3024,https://github.com/newrelic/node-newrelic/issues/3024,Not Checked,
3021,https://github.com/newrelic/node-newrelic/pull/3021,2995,https://github.com/newrelic/node-newrelic/issues/2995,Not Checked,
3017,https://github.com/newrelic/node-newrelic/pull/3017,2996,https://github.com/newrelic/node-newrelic/issues/2996,Not Checked,
3009,https://github.com/newrelic/node-newrelic/pull/3009,2991,https://github.com/newrelic/node-newrelic/issues/2991,Not Checked,
